epoch,lr,loss,mse,mae,rmse,val_loss,val_mse,val_mae,val_rmse,val_ssim
0,0.0009999845942435725,0.9380957710742951,0.08583361418917775,0.1496703501790762,0.2876127304136753,0.6881751346588135,0.06375789657235145,0.10521619886159897,0.25122772574424745,0.5254380202293396
1,0.0009999383779245895,0.6356713712215424,0.06584878550842405,0.0996602550521493,0.2544279322773218,0.5445028507709503,0.059791884869337085,0.09367935955524445,0.2433287239074707,0.6486584258079529
2,0.0009998613538938913,0.527729375809431,0.06197632569819689,0.09126760073006153,0.2468943188339472,0.4780664777755737,0.05651262745261192,0.08734398946166039,0.2366146743297577,0.6885188603401184
3,0.0009997535269026829,0.4682852821052074,0.05934099459089339,0.08651751644909382,0.24133723556995393,0.44158520698547366,0.054001950323581696,0.08221607536077499,0.23127060353755952,0.7081293439865113
4,0.000999614903602241,0.43071000412106514,0.05690881767310202,0.08289317101240158,0.2366724419593811,0.40731863617897035,0.05239408403635025,0.08061768978834152,0.22801694631576538,0.7343411993980408
5,0.0009994454925435039,0.40889798834919927,0.05478473168797791,0.07991997750476003,0.23195066943764686,0.38294604420661926,0.049383949935436246,0.076286651045084,0.22130703866481782,0.7490255069732666
6,0.0009992453041765435,0.38965037479996684,0.05324147366918623,0.07757425773888826,0.2285416390746832,0.3690392363071442,0.04777777433395386,0.07505548894405364,0.21770286560058594,0.7528019785881043
7,0.0009990143508499213,0.3733838281035423,0.050794680835679173,0.07490448595955967,0.22373099580407144,0.36051480889320375,0.04647409558296203,0.07064514070749282,0.21467646718025207,0.7636237168312072
8,0.0009987526468099267,0.3623781545460224,0.05000549104064703,0.07362472388893365,0.2216110023856163,0.35372386693954466,0.04605603575706482,0.0706427262723446,0.21362647473812102,0.7707156157493591
9,0.0009984602081996973,0.3500401741266251,0.048411056324839594,0.07179204784333706,0.2180357014387846,0.3376462435722351,0.04403888240456581,0.0680446158349514,0.2089499604701996,0.7764013290405274
10,0.000998137053058224,0.34471252262592317,0.04778920485638082,0.07076134772971272,0.21686252504587172,0.3293827295303345,0.04353610172867775,0.06721450448036194,0.2077714055776596,0.7836144232749939
11,0.000997783201319238,0.3324107713997364,0.04637328319251537,0.06925505720078945,0.21356290005147457,0.3201375162601471,0.04217280812561512,0.06571604505181312,0.20445304691791535,0.7932142639160156
12,0.000997398674809982,0.3234446205943823,0.04536303044296801,0.067881766743958,0.21112798668444158,0.31910674810409545,0.043443214148283005,0.06744208380579948,0.2076321244239807,0.783538179397583
13,0.0009969834972498618,0.31931234404444697,0.04481462131254375,0.0673435833491385,0.20981570079922676,0.3160284638404846,0.04129993893206119,0.06681993678212166,0.2022686368227005,0.7821083784103393
14,0.0009965376942489854,0.3126288469135761,0.044047855576500296,0.06641391782090068,0.20793428122997284,0.29981317758560183,0.03965375430881977,0.0627908156812191,0.19831195831298828,0.7992941117286683
15,0.0009960612933065814,0.3074134886264801,0.04322888598777354,0.06534893546253442,0.20591776214540006,0.2948391556739807,0.03871520228683949,0.06196643188595772,0.19583688616752626,0.802909038066864
16,0.000995554323809304,0.3035973496735096,0.0426902824267745,0.06478642664849758,0.20488115094602108,0.3006297159194946,0.041439984664320945,0.06364698499441147,0.20268117010593414,0.7991576147079468
17,0.00099501681702942,0.29828514598309996,0.04203860561363399,0.06382646668702364,0.2029646083712578,0.29337122440338137,0.03898069016635418,0.06364038661122322,0.1963782548904419,0.8012004709243774
18,0.0009944488061228796,0.29506012730300424,0.041010203398764135,0.06289006799459457,0.20073372036218642,0.28674203395843506,0.0381173512339592,0.06026185929775238,0.19438120782375334,0.808847029209137
19,0.0009938503261272707,0.290094875022769,0.04055186204612255,0.06226124845445156,0.19985049694776535,0.2839568001031876,0.038721829503774646,0.060716255605220794,0.1958378142118454,0.8108949470520019
20,0.000993221413959659,0.28856080293655395,0.03990236293524504,0.0615471918322146,0.1980879044532776,0.2858073645830154,0.039980887249112126,0.0626197150349617,0.19891984045505523,0.8071656441688537
21,0.000992562108414309,0.283177515566349,0.03946660459972918,0.060908951051533225,0.19669372394680976,0.2830292356014252,0.036953305974602696,0.05888794496655464,0.19116953551769256,0.8113619637489319
22,0.0009918724501602927,0.280086547061801,0.03899814805015921,0.06053340142592788,0.19605846256017684,0.2772554737329483,0.035974009335041045,0.057506921142339705,0.18878963589668274,0.8199889802932739
23,0.0009911524817389796,0.27803362436592577,0.038611980173736814,0.059989168327301744,0.19467701852321626,0.2759204536676407,0.03653943918645382,0.05917948067188263,0.19016088664531708,0.8154539608955383
24,0.000990402247561413,0.2757882487773895,0.038052496956661346,0.0594387212023139,0.19351628966629505,0.26668094396591185,0.03612617008388042,0.05645159855484962,0.18911362886428834,0.8213903594017029
25,0.0009896217939055715,0.27390170507133005,0.037457333309575916,0.0586347489990294,0.19218681126832962,0.26644147336483004,0.03504313699901104,0.055910836160182956,0.18630194008350373,0.8236717557907105
26,0.0009888111689135125,0.27107145987451076,0.03717079883441329,0.058257695361971853,0.19116686999797822,0.26409372746944426,0.035200446695089344,0.05555852234363556,0.1866295850276947,0.8232851314544678
27,0.0009879704225884038,0.2678919050097466,0.0363664894644171,0.057465557362884286,0.18921395853161813,0.26664503633975983,0.03488549515604973,0.056050001978874206,0.18595764458179473,0.8216353869438171
28,0.0009870996067914393,0.26489422656595707,0.03620256024412811,0.057172214817255734,0.1888287180662155,0.2612727099657059,0.03397102750837803,0.05538009956479072,0.1833427828550339,0.825837275981903
29,0.0009861987752386389,0.2623578172177076,0.03543380276300013,0.056301340144127604,0.1866551086306572,0.2643622440099716,0.03483135856688022,0.05739097714424133,0.18538057506084443,0.8230820965766906
30,0.0009852679834975364,0.2619304193556309,0.0360241917334497,0.05676404878497124,0.18779703803360462,0.2600758141279221,0.035927551239728926,0.057012882530689236,0.1884392601251602,0.8244571352005005
31,0.0009843072889837508,0.25967687331140044,0.03528622715733945,0.05601788273081183,0.1859479069709778,0.250957772731781,0.03286253109574318,0.053205013275146484,0.18040961802005767,0.8319918775558471
32,0.0009833167509574448,0.2577572333812714,0.03478826144710183,0.05547742525115609,0.18515046305954455,0.24943479537963867,0.03263997554779053,0.05288752183318138,0.1797061038017273,0.8345120763778686
33,0.0009822964305196697,0.25596822194755076,0.03432878639549017,0.05495475126430392,0.1836199476569891,0.25542969584465025,0.03286071754992008,0.054544368535280226,0.18034301698207855,0.8280079126358032
34,0.0009812463906085963,0.2520814782381058,0.03382412014529109,0.054372550565749404,0.18257762968540192,0.25055345296859743,0.031606127619743345,0.052004824727773666,0.17700932502746583,0.8365779900550843
