epoch,lr,loss,mse,mae,rmse,val_loss,val_mse,val_mae,val_rmse,val_ssim
0,0.0009999845942435725,1.0196621322631836,0.09875537496060133,0.18808938816189766,0.3072597935050726,0.7788686609268188,0.06166194051504135,0.10986232727766038,0.24703918397426605,0.42611992835998536
1,0.0009999383779245895,0.676124618947506,0.06295267613604665,0.09925730433315039,0.2486690204590559,0.59410888671875,0.05366895616054535,0.0884886759519577,0.23056368947029113,0.6513925504684448
2,0.0009998613538938913,0.5555438874661922,0.05742630526423454,0.08724024396389723,0.23786941923201085,0.4860916554927826,0.05035747572779656,0.08042014628648758,0.2232892805337906,0.7142660093307495
3,0.0009997535269026829,0.4874031038582325,0.05395696109160781,0.0814803359657526,0.2304849161207676,0.4521200370788574,0.048511020988225934,0.07709908530116082,0.21924860000610352,0.7336311435699463
4,0.000999614903602241,0.4523263876140118,0.0526270648278296,0.07862378494814039,0.2273617158830166,0.4444317984580994,0.0474311263859272,0.07495750024914742,0.21676586508750917,0.7279802489280701
5,0.0009994454925435039,0.42854774311184884,0.0509068186301738,0.07630747430026531,0.22371733538806438,0.39649689078330996,0.04636267393827438,0.07397398740053177,0.21440707206726073,0.760411548614502
6,0.0009992453041765435,0.40795983269810676,0.049076875187456605,0.07373398998752237,0.21983019433915615,0.38554831862449646,0.0440868578851223,0.07020683899521828,0.20904231190681458,0.7685117554664612
7,0.0009990143508499213,0.3947135877609253,0.04838168581016362,0.07258030286058784,0.21792349986732007,0.37638203263282777,0.04399932399392128,0.07070222616195679,0.20884454727172852,0.7686277651786804
8,0.0009987526468099267,0.38059709817171095,0.0468192626349628,0.07070562290027738,0.21464310094714165,0.3731072270870209,0.04398479297757149,0.06983119040727616,0.2087308931350708,0.7780947470664978
9,0.0009984602081996973,0.37061380669474603,0.045936226267367604,0.06963372498750686,0.21278403185307979,0.3520955741405487,0.04236817851662636,0.06694379329681396,0.20500050842761994,0.7865541172027588
10,0.000998137053058224,0.36068381637334823,0.04494103291071951,0.06823050601407886,0.2101865201443434,0.3441609752178192,0.04133154191076756,0.06588093265891075,0.202355797290802,0.786545729637146
11,0.000997783201319238,0.35514209657907486,0.04442392869852483,0.06748181566596032,0.20910865612328053,0.3493614828586578,0.041841512620449064,0.06647439450025558,0.2036566025018692,0.7837103223800659
12,0.000997398674809982,0.34615041971206667,0.04365537620149553,0.06640593498945237,0.20724996738135815,0.33428834319114686,0.04022436335682869,0.06522547006607056,0.1995917558670044,0.7945121216773987
13,0.0009969834972498618,0.3397333087027073,0.043023475529626015,0.06562497163191437,0.2050750505179167,0.327759222984314,0.04136543497443199,0.0641924001276493,0.20254373252391816,0.7967855954170227
14,0.0009965376942489854,0.33401210501790046,0.04219933847896755,0.06481121322140097,0.2037422037869692,0.3240877902507782,0.04018842816352844,0.06329713746905327,0.19958336651325226,0.801574194431305
15,0.0009960612933065814,0.3280638311803341,0.041845796518027785,0.06429007457569241,0.20279809705913066,0.3143185532093048,0.041189565435051916,0.06377577915787697,0.20210107386112214,0.8038806962966919
16,0.000995554323809304,0.3248359026759863,0.041120722414925696,0.06332922553643584,0.2009407450258732,0.31158276200294494,0.038075397312641146,0.06153438836336136,0.19420665442943574,0.8067009139060974
17,0.00099501681702942,0.31650037460029123,0.03995119066908956,0.062071436289697884,0.19825012221932412,0.31444538593292237,0.03843343786895275,0.0603698855638504,0.19511271953582765,0.8020726943016052
18,0.0009944488061228796,0.31489854656159877,0.03926111989654601,0.061274210419505835,0.19658620819449424,0.3076984298229217,0.03802921682596207,0.05938634902238846,0.19406899690628052,0.8096726012229919
19,0.0009938503261272707,0.31124709494411945,0.03938194115646183,0.06121748436242342,0.1966171945631504,0.30260421872138976,0.03793766885995865,0.06115999847650528,0.193796266913414,0.8106696844100952
20,0.000993221413959659,0.30625902347266676,0.038931680815294384,0.06076635163277388,0.19559077471494674,0.29917235136032105,0.03671840161085129,0.05949046030640602,0.1906389492750168,0.8115733480453491
