epoch,lr,loss,mse,mae,rmse,val_loss,val_mse,val_mae,val_rmse,val_ssim
0,0.0009999845942435725,0.9638842689990997,0.08621672788634896,0.1493561789765954,0.28793600961565974,0.7087907314300537,0.06060480862855911,0.09448885321617126,0.24503870964050292,0.5989906120300293
1,0.0009999383779245895,0.6587753650546074,0.061455875318497416,0.09067090272903443,0.24581857576966284,0.5872656965255737,0.05369123667478561,0.08260303512215614,0.23054960429668425,0.7009040045738221
2,0.0009998613538938913,0.5708915145695209,0.05743179105222225,0.08374693054705858,0.23715284742414952,0.5226029372215271,0.0508598293364048,0.07843048274517059,0.22451046586036683,0.7262686896324158
3,0.0009997535269026829,0.5079670779407024,0.054539810391142966,0.07956608222797514,0.23106639742851257,0.48278992891311645,0.04900193527340889,0.07611919194459915,0.22034629225730895,0.7392847919464112
4,0.000999614903602241,0.4717895539104939,0.0527875748835504,0.07697570659220218,0.22746065221726894,0.4361372709274292,0.04789368838071823,0.07409192010760307,0.21783257842063905,0.758196496963501
5,0.0009994454925435039,0.43753170445561407,0.05090080928988755,0.07466733951121568,0.22351194091141224,0.4090702211856842,0.0459722563624382,0.07055060103535653,0.21346464097499848,0.764907956123352
6,0.0009992453041765435,0.41692067459225657,0.049537002267315985,0.07289133971557021,0.220710631608963,0.3989067816734314,0.04614568330347538,0.07051754266023635,0.2138174718618393,0.7719285798072815
7,0.0009990143508499213,0.40186402142047883,0.048336950493976474,0.07146889058873057,0.21822429716587066,0.3846600127220154,0.04374775961041451,0.06859542563557625,0.20824879467487334,0.7705482363700866
8,0.0009987526468099267,0.3857696674764156,0.0471198723744601,0.06973672904074192,0.21503570675849915,0.37126519918441775,0.04274623990058899,0.06645599246025086,0.20583902537822724,0.7853941917419434
9,0.0009984602081996973,0.37685570895671844,0.04602867773734033,0.06860154392197729,0.21293816782534122,0.3688676881790161,0.042859920263290406,0.06673461571335793,0.2061620193719864,0.7706901669502259
10,0.000998137053058224,0.3675063210725784,0.04564331954345107,0.06809011902660131,0.21180094301700592,0.35779319882392885,0.04211743466556072,0.06816517874598503,0.20426402628421783,0.7837872076034545
11,0.000997783201319238,0.3565893611311913,0.04434071933850646,0.0666834132373333,0.20884111523628235,0.34462257862091067,0.04140246197581291,0.06476832360029221,0.20262154579162597,0.7906039333343506
12,0.000997398674809982,0.3489442406594753,0.04344772069714963,0.0656064672395587,0.2069688903540373,0.33406094431877137,0.04087239071726799,0.063466627150774,0.2013559013605118,0.7963767886161804
13,0.0009969834972498618,0.34261208727955816,0.04272694027982652,0.0647730689495802,0.20506939381361008,0.32790133595466614,0.04050988733768463,0.06319434210658073,0.20040801227092742,0.7966706013679504
14,0.0009965376942489854,0.33972098797559735,0.04250699838623404,0.06447323236614466,0.2044966222345829,0.3287196910381317,0.04014740727841854,0.06291998788714409,0.19946037948131562,0.795888180732727
15,0.0009960612933065814,0.3313456105440855,0.041881692912429574,0.06377590958029032,0.20260382302105426,0.3210392427444458,0.04007054053246975,0.06116084799170494,0.19933384776115418,0.8012124013900757
16,0.000995554323809304,0.3274221098423004,0.04114281974732876,0.06290419837459922,0.20097114995121956,0.3142553508281708,0.03940947405993939,0.06067329332232475,0.19775595366954804,0.8031096506118774
17,0.00099501681702942,0.3202358519285917,0.04042560759931803,0.06198587998747826,0.1993132482469082,0.3161055481433868,0.03958607576787472,0.06136150985956192,0.19802723586559295,0.7992096447944641
18,0.0009944488061228796,0.3158795738220215,0.03988612451590598,0.0615739188157022,0.19802485659718513,0.30942494750022886,0.03800614833831787,0.05938124552369118,0.1940417194366455,0.8082085180282593
19,0.0009938503261272707,0.31276436828076837,0.03960361740551889,0.061090402100235225,0.19728547431528567,0.3057080125808716,0.038606125861406326,0.06021947175264358,0.19560206532478333,0.8065946960449218
20,0.000993221413959659,0.3093452813476324,0.03926598121412098,0.06063932240009308,0.1963649918884039,0.2999751937389374,0.037974103465676305,0.058598186373710635,0.19393808901309967,0.8119731879234314
21,0.000992562108414309,0.3038755223155022,0.038427652642130855,0.059809287134557965,0.1943810396641493,0.30766931533813474,0.03877614237368107,0.05892173156142235,0.1959815001487732,0.8087083292007446
22,0.0009918724501602927,0.30264963150024415,0.038521003052592276,0.05982813991606235,0.1944415608048439,0.3003384864330292,0.03611270509660244,0.05907921031117439,0.18918661415576934,0.8036496925354004
23,0.0009911524817389796,0.2957778813689947,0.03783167159184814,0.059141197837889195,0.19268015660345555,0.28860249161720275,0.035535292774438856,0.05705419957637787,0.18764253437519074,0.8186829972267151
24,0.000990402247561413,0.2951048215478659,0.037328505492769185,0.0585836492292583,0.19162967979907988,0.2859692895412445,0.03564560756087303,0.05688109084963799,0.18778595387935637,0.8208849167823792
25,0.0009896217939055715,0.291458595469594,0.037254777755588296,0.05829996736720204,0.19142407979816198,0.2851484709978104,0.03457091331481934,0.05738567367196083,0.18494943857192994,0.8202784538269043
26,0.0009888111689135125,0.28832198686897753,0.03658954133279622,0.05756918853148818,0.18956317886710167,0.28315925002098086,0.03555457055568695,0.05688091620802879,0.1877771383523941,0.8199501633644104
27,0.0009879704225884038,0.2880911822617054,0.0364882505685091,0.057373708356171844,0.1892381440103054,0.28409841418266296,0.03458041369915008,0.05545111194252968,0.185159792304039,0.8229438400268555
28,0.0009870996067914393,0.28308650113642214,0.03575089932885021,0.05673632763326168,0.18762970641255378,0.2772748839855194,0.03542269788682461,0.054821527302265166,0.18729173123836518,0.8269806432724
29,0.0009861987752386389,0.2804660610109568,0.035739245172590015,0.05652734193950892,0.18731019370257854,0.28398182630538943,0.03527628719806671,0.056759315431118014,0.1868054223060608,0.8159641575813293
30,0.0009852679834975364,0.2779160027205944,0.03523283242247999,0.056079675406217576,0.18591354258358478,0.2785882192850113,0.03434682965278626,0.05435803577303886,0.18439376771450042,0.8254093027114868
31,0.0009843072889837508,0.27472046136856076,0.034739564661867915,0.05539924753829837,0.1849124940484762,0.27391776621341707,0.034445354118943214,0.05451238065958023,0.18450803756713868,0.8261089611053467
32,0.0009833167509574448,0.2729110692441463,0.03454767392016947,0.05526989938691258,0.18441634953022004,0.27515175342559817,0.033497202545404434,0.05437270313501358,0.18209018409252167,0.8263010549545288
33,0.0009822964305196697,0.27092246562242506,0.03446319295093417,0.05497108478099108,0.18388085067272186,0.27248436033725737,0.03474606059491634,0.05450855523347855,0.18545683443546296,0.8289619421958924
34,0.0009812463906085963,0.2684446033090353,0.0341169380582869,0.05464842826128006,0.18303365930914878,0.26906257510185244,0.032896839007735254,0.05321373119950294,0.18045681953430176,0.8304903721809387
35,0.0009801666959956326,0.2670588082075119,0.03400734294205904,0.05445266917347908,0.18282192043960094,0.26837418615818026,0.03538635358214379,0.05585092827677727,0.187006351351738,0.8307442474365234
36,0.000979057413281428,0.2660320450365543,0.03360318963415921,0.054004093166440725,0.18167389295995234,0.26293747782707216,0.0330331040173769,0.053319315612316134,0.180912521481514,0.8326654052734375
37,0.0009779186108917653,0.26235375821590423,0.033254402792081236,0.05356307467445731,0.18070686005055905,0.26018803417682645,0.032863143756985666,0.05380626529455185,0.1803344714641571,0.8329592680931092
38,0.0009767503590733405,0.2605412369966507,0.03317580564878881,0.053573124632239344,0.18069784812629222,0.2568002158403397,0.03166531503200531,0.05201195046305657,0.177035893201828,0.8376224637031555
39,0.0009755527298894287,0.25961493894457816,0.03301444784738124,0.05329304486513138,0.1798519019037485,0.2524298107624054,0.031205511540174483,0.051483908146619795,0.17580440282821655,0.8397548604011535
40,0.000974325797215439,0.2578015198558569,0.03255528435576707,0.05284489706158638,0.17884704280644656,0.2547404450178146,0.032360968664288524,0.05164800763130188,0.17895908176898956,0.8406889867782593
41,0.0009730696367343584,0.2557577110826969,0.032325037783011795,0.052376057486981153,0.17822891771793364,0.255284224152565,0.031278150752186776,0.051857267171144486,0.1758697259426117,0.8378135251998902
42,0.0009717843259320823,0.25531354039907456,0.032303701909258964,0.05241665506735444,0.1781116184592247,0.25608113288879397,0.033622557669878005,0.05326776027679443,0.18226672172546388,0.8394389200210571
43,0.0009704699440926353,0.25403443492949007,0.03220493122935295,0.05206335665658116,0.17781430419534444,0.25244984567165374,0.031912308931350705,0.0522321592271328,0.1776222902536392,0.8388776135444641
44,0.0009691265722932805,0.25202310755848883,0.03175036664120853,0.051706961300224064,0.1765027316659689,0.24367386519908904,0.030452389940619468,0.05069376796483994,0.17355147182941436,0.8456892085075378
45,0.0009677542933995185,0.24956554152071475,0.031689938018098475,0.05150397313758731,0.17658033400774,0.25341584265232087,0.03208018288016319,0.052428331971168515,0.17816244959831237,0.8374420428276061
46,0.0009663531920599752,0.24844796240329742,0.03155966281425208,0.05145445126108825,0.17612656865268947,0.24423466324806214,0.031370404064655306,0.050378791987895966,0.17612569987773896,0.845509123802185
47,0.0009649233547011813,0.24765462860465048,0.03163474351167679,0.051404955023899676,0.17635292015969753,0.24234873175621033,0.030703365430235864,0.05041725233197212,0.17415669083595275,0.8481182765960693
48,0.00096346486952224,0.2464237167686224,0.031310548591427505,0.05098470464348793,0.175383331887424,0.242891583442688,0.030417571142315865,0.049958416074514386,0.17332816660404204,0.846116349697113
49,0.0009619778264893875,0.24564489297568798,0.03125295598059893,0.050756733026355506,0.17509469643235206,0.24283036291599275,0.030692230463027954,0.04992272451519966,0.17419674396514892,0.8461817359924316
50,0.0009604623173304426,0.24294967025518419,0.03068800869397819,0.050314523223787544,0.1736481438577175,0.24284811973571777,0.03181069009006023,0.05043688356876373,0.17736950218677522,0.8465222501754761
51,0.0009589184355291483,0.2421443497389555,0.030753410984762013,0.0503068170696497,0.17382038209587336,0.23989949762821197,0.03001807741820812,0.04863562017679215,0.17221556544303895,0.8508672165870667
52,0.0009573462763194073,0.23972470976412297,0.030294557083398104,0.04961007421836257,0.1723371824622154,0.23952947974205016,0.029975453838706017,0.04960673242807388,0.17207989633083343,0.8477533411979675
53,0.0009557459366794046,0.23954693466424942,0.030117642199620605,0.04958250932395458,0.17227140564471483,0.2384818524122238,0.02981713354587555,0.049704086631536484,0.17172228932380676,0.8461246728897095
54,0.0009541175153256279,0.23903613708913327,0.03012831271626055,0.049605506770312786,0.1719736773520708,0.23837687492370604,0.02946297012269497,0.049373770356178286,0.17063030660152434,0.8490164518356323
55,0.0009524611127067765,0.23674778297543525,0.029848528522998095,0.04932757258415222,0.1711951382085681,0.2347853237390518,0.029815106391906737,0.04886232048273086,0.1715656453371048,0.8507396125793457
56,0.0009507768309975664,0.23661488212645054,0.029903808482922612,0.04921787614002824,0.17131943069398403,0.23574754536151887,0.02985834628343582,0.050194092988967896,0.1716199427843094,0.8486886286735534
57,0.0009490647740924272,0.23486901618540287,0.02953662828542292,0.04876633901149034,0.17029145199805498,0.23466035068035127,0.029864826425909995,0.04987927556037903,0.17164624750614166,0.8497202229499817
58,0.0009473250475990932,0.23348745822906494,0.02949266300071031,0.048520847894251345,0.17016085594892502,0.23550136029720306,0.029213152527809143,0.050271319150924684,0.16980511009693144,0.847485580444336
59,0.0009455577588320895,0.23139045357704163,0.029051710069179535,0.04817771524190903,0.1690649176761508,0.23230888128280638,0.029310106486082076,0.04837149545550346,0.17014825403690337,0.8531267046928406
60,0.0009437630168061119,0.2314257937669754,0.029221240365877747,0.048405419532209636,0.16926899176090957,0.2295021116733551,0.02883211001753807,0.0483428455889225,0.16866097390651702,0.8555607056617737
61,0.0009419409322293023,0.23101470209658145,0.02907334880437702,0.04818025166168809,0.16887594424188138,0.23056335747241974,0.028828049302101134,0.04738729059696198,0.16870659351348877,0.8532048845291138
62,0.0009400916174964203,0.2307969941943884,0.02926178014371544,0.04827979285269976,0.16935448329895736,0.23405477166175842,0.030347046107053757,0.05016624867916107,0.1731206387281418,0.8481319999694824
63,0.0009382151866819096,0.22715429171919824,0.028598965532146393,0.04754660879261792,0.16794592883437873,0.22620757341384887,0.028066733703017235,0.04679765060544014,0.16658379077911378,0.8568146920204163
64,0.000936311755532862,0.22844033367931843,0.028741768267937003,0.04770245768129826,0.16796621590852737,0.23273260474205018,0.02833822153508663,0.04749684691429138,0.1673663979768753,0.8527563071250915
65,0.0009343814414618764,0.2273369076102972,0.02850684738252312,0.04739330194890499,0.16741392455995083,0.2242928957939148,0.028740731030702592,0.04677114069461823,0.16856044828891753,0.8578998160362243
66,0.0009324243635398172,0.2257931748777628,0.02835204254835844,0.047274121679365635,0.16701896697282792,0.22444238126277924,0.02773999184370041,0.0463393634557724,0.16542962789535523,0.8588159894943237
67,0.0009304406424884696,0.22517157450318337,0.02848414487205446,0.047245134450495246,0.1673366217687726,0.22414591610431672,0.028182292506098747,0.04704096540808678,0.16693208038806914,0.8577517747879029
68,0.0009284304006730921,0.22600901022553443,0.028509396528825164,0.04726513335481286,0.1672097619622946,0.22242910385131837,0.027440959066152574,0.04600258395075798,0.16464666426181793,0.8582757306098938
69,0.0009263937620948687,0.22336662992835044,0.028066205298528074,0.04685650770552456,0.16584946405142545,0.22223665595054626,0.028702110797166825,0.04731440797448158,0.16831627905368804,0.858135666847229
70,0.0009243308523832607,0.22106633119285107,0.027835127441212536,0.0465400530770421,0.1654101425781846,0.2202792203426361,0.027547217197716235,0.04639829322695732,0.16467142194509507,0.8598926401138306
71,0.0009222417987882561,0.221942970007658,0.027925297147594393,0.04652144562453032,0.16573465075343846,0.22440208554267882,0.027952195405960084,0.047960948795080185,0.16601845622062683,0.8532563328742981
72,0.000920126730172521,0.22154982388019562,0.027964152074418963,0.046591527052223684,0.1659456155076623,0.22544462561607362,0.029090833142399786,0.047453382909297945,0.1692139172554016,0.8573334193229676
73,0.0009179857770034506,0.21973303616046905,0.027631691982969643,0.04614472271874547,0.1647630638256669,0.2192193239927292,0.028175000846385957,0.04549750074744224,0.16684838950634004,0.8616010618209838
74,0.0009158190713451209,0.2191455742716789,0.027416336652822792,0.04593485374003649,0.16416358433663844,0.22908927917480468,0.029467950910329818,0.04634077489376068,0.1706479823589325,0.8524717783927918
75,0.0009136267468501431,0.21942569248378277,0.02730246809311211,0.04587136781774461,0.1637815807387233,0.21875627756118773,0.02743633285164833,0.045627718567848204,0.16461189180612565,0.8617596578598022
76,0.000911408938751419,0.21872016482055187,0.027328209858387707,0.045766374124214054,0.1638518361374736,0.2235381132364273,0.02796765200793743,0.04604128122329712,0.16614926874637603,0.8583001661300659
