epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,1.0320907149996077,0.28999514248442404,1.1011492240996588,0.32313551993136125,0.48572431707101604
1,0.0001,0.9460196324757167,0.4097159518273117,1.0952650024777366,2.0817220399872097e-10,4.163444077325539e-10
2,0.0001,0.9064219026338487,0.4572620690693859,1.0462902386983235,0.03495024293137246,0.06544316175593463
3,0.0001,0.8826765361286345,0.47915815458301153,0.99879561151777,0.2929516984575405,0.4509005440510584
4,0.0001,0.8589298895427159,0.5083767850202081,0.9194523096084595,0.4131280657487085,0.5812085260552836
5,0.0001,0.8505996408916655,0.5002586829873983,0.9091525702249437,0.4281730627933596,0.5953094642267918
6,0.0001,0.8344249441510155,0.5354486165233825,0.8773857241585141,0.44816469911756196,0.616329343820471
7,0.0001,0.8251687912713914,0.5316329535477272,0.8788878350030809,0.4736762262497641,0.6385063399521044
8,0.0001,0.8274372049740383,0.5304407665544332,0.9102126984369188,0.40093564930265463,0.568774960128868
9,0.0001,0.8098809350104559,0.5424346484042807,0.8978544899395534,0.4401195438841233,0.6080453267142144
10,0.0001,0.8018351140476409,0.5576093104500318,0.8470710232144311,0.4949747866231397,0.6569909354517802
11,0.0001,0.7980522626922244,0.5612593760295392,0.9117830367315383,0.3904220729632111,0.5593393511803976
12,0.0001,0.7934856783776056,0.5529164135716708,0.9128448849632627,0.4150863104188092,0.5831536327023196
13,0.0001,0.7846785414786566,0.5765170899776614,0.8531443391527448,0.4645079746712202,0.630235810099025
14,0.0001,0.7866868830862499,0.5491623441171076,0.8431885072163173,0.48751332429484284,0.6498275281806041
15,0.0001,0.7851831004733131,0.551955705400166,0.8423759256090436,0.5101950064138959,0.6714903308196893
16,0.0001,0.7701558726174491,0.5687650745617713,0.8282895088195801,0.520114734067891,0.6815597163497336
17,0.0001,0.7647825280825297,0.5792210606828052,0.9627479258037749,0.34486161432324036,0.5104406574977305
18,0.0001,0.7730866074562073,0.5550885335559379,0.8247353264263698,0.4995034052840793,0.6599212707348683
19,0.0001,0.7580000247274127,0.5795877589737485,0.8345417351949782,0.501385146856994,0.665865314320027
20,0.0001,0.750889105456216,0.5867323329411097,0.794221355801537,0.5420139811452481,0.6975448742671807
21,0.0001,0.7555656291189647,0.567792050325434,0.8110990864889962,0.5039442956239546,0.6677216605710188
22,0.0001,0.7535693645477295,0.5630327547955307,0.7993264567284357,0.5347035862539814,0.6930045223992833
23,0.0001,0.7392482047989255,0.5999936643265718,0.8336021474429539,0.4917994717957684,0.6541261442880963
24,0.0001,0.7282832520348685,0.5999557771199897,0.8198494173231579,0.5035901963020138,0.6668876908009909
25,0.0001,0.716563241822379,0.623678719534466,0.7824457940601167,0.5756806207020968,0.7267735922315628
26,0.0001,0.7342167525064378,0.5738049791975595,0.7795197140602839,0.5333534120497097,0.6893643786919181
27,0.0001,0.7168911525181362,0.6140592837392831,0.8261924811771938,0.48355988091626123,0.6458093594824255
28,0.0001,0.7138953776586623,0.6121379802691655,0.8481466316041493,0.4498737506031837,0.6147583893509692
29,0.0001,0.7089698882330031,0.6031503350906704,0.8379497357777187,0.44355003610592886,0.6077024428803337
30,0.0001,0.7046662398747036,0.6122540231290023,0.7891727118265062,0.4987277836003782,0.6615173422263668
31,0.0001,0.6920018735386076,0.6170638531178233,0.8199129700660706,0.4673885973023603,0.6297325511550534
32,0.0001,0.705267242022923,0.5898438385008877,0.7708170726185753,0.5176780737935613,0.6768890587006231
33,0.0001,0.686995560214633,0.6187948106817512,0.7508386572202047,0.5598642331447727,0.71482557708098
34,0.0001,0.6790918395632789,0.6376261931704755,0.7597048708370754,0.5161072075170328,0.6768872561190571
35,0.0001,0.6766201626686823,0.6316323528352727,0.7518555493581862,0.5162994188490545,0.6780534594745428
36,0.0001,0.6837851036162603,0.609540201074435,0.7557626962661743,0.5475062489067192,0.7042762413910096
37,0.0001,0.6653964434351239,0.6411953694830886,0.7944206936018807,0.4828762332755518,0.6482398353758084
38,0.0001,0.6523798675764174,0.6606858348437855,0.7560475042888096,0.5189831099276319,0.679869740809829
39,0.0001,0.6491351581755138,0.671944353159598,0.7738238346009028,0.5124017946436966,0.6743073099942339
40,0.0001,0.6452106067112514,0.6510208550028795,0.779090132032122,0.49039491720325656,0.6491203562405868
41,0.0001,0.6426816270464942,0.6562366802657119,0.753387451171875,0.513983996623896,0.67720264785656
42,0.0001,0.6572152092343285,0.6262397262233786,0.7662909882409232,0.49941517809433755,0.6637466304188262
43,0.0001,0.6340247080439613,0.6585023642571716,0.7337046634583246,0.5587800881556423,0.714424803793369
44,0.0001,0.6439804292860485,0.6273610434067567,0.802998457636152,0.46210866659561695,0.6275709589601534
45,0.0001,0.6303078730901083,0.6640120509976265,0.7039193085261753,0.572179689141953,0.7241158463243886
46,0.0001,0.623959752775374,0.6635348333602796,0.755136373497191,0.5031377405600977,0.6632311281227373
47,0.0001,0.6306630429767427,0.6502325680674679,0.7827483926500592,0.4594357195325392,0.6255379930604232
48,0.0001,0.6220134851478395,0.6568917387685876,0.7133285516784305,0.5367520034975802,0.6959162490195997
49,0.0001,0.6273268830208552,0.6321588054905839,0.7318058666728792,0.5049033956764307,0.6580512025491351
50,0.0001,0.6143242787747156,0.6575460454560764,0.740547327768235,0.4995547417022847,0.663853006223046
51,0.0001,0.611183687334969,0.6545584391464314,0.7216481793494451,0.5375355303380976,0.6934377456307137
