epoch,lr,loss,mse,mae,rmse,val_loss,val_mse,val_mae,val_rmse,val_ssim
0,0.0009999845942435725,0.9611656686663628,0.08702856652438641,0.15246109873056413,0.2892933614552021,0.7056567287445068,0.05806676730513573,0.09428094893693924,0.239823642373085,0.569541847705841
1,0.0009999383779245895,0.6530013963580131,0.05982357708737254,0.09044475000351668,0.24228121630847455,0.580904769897461,0.05154490426182747,0.08249285399913787,0.22579988479614257,0.69625319480896
2,0.0009998613538938913,0.5542379295825959,0.054530101493000985,0.08149134671315551,0.23142493024468422,0.5016842436790466,0.04865293473005295,0.07675794571638107,0.21952419936656953,0.7337619757652283
3,0.0009997535269026829,0.4922093354165554,0.052306354623287914,0.07774809341877699,0.2269855023175478,0.4558462119102478,0.04818383812904358,0.07396191239356995,0.21844158411026002,0.7492246198654174
4,0.000999614903602241,0.449457236379385,0.050666472595185044,0.07500557154417038,0.22296261005103588,0.4351553380489349,0.047871087938547136,0.07403875544667243,0.21799724817276,0.7470426177978515
5,0.0009994454925435039,0.42030756443738937,0.04877406569197774,0.07282894248142839,0.21887930780649184,0.3994306719303131,0.04458442583680153,0.06965286776423454,0.210300332903862,0.7707038259506226
6,0.0009992453041765435,0.3993086029589176,0.04818656041286886,0.07178435936570167,0.217694640904665,0.38711907625198366,0.04412566736340523,0.07007337570190429,0.20919793844223022,0.773406274318695
7,0.0009990143508499213,0.38218542709946635,0.0463386213965714,0.06966162821277976,0.21345052637159825,0.37101242423057557,0.04373992875218392,0.06819738835096359,0.2083540999889374,0.7778302836418152
8,0.0009987526468099267,0.36648850664496424,0.04573346596211195,0.06870019115507603,0.21158659607172012,0.3606275153160095,0.04314606338739395,0.06708044216036796,0.2070343554019928,0.7856727290153503
9,0.0009984602081996973,0.35538499474525453,0.044588037310168145,0.06731479881331325,0.20940912388265132,0.3414494860172272,0.04255032852292061,0.06482582405209542,0.20547417163848877,0.7908910632133483
10,0.000998137053058224,0.3450659976899624,0.0435841660015285,0.0663413799367845,0.20710871033370495,0.3348359668254852,0.0413682160526514,0.06480732619762421,0.20265264213085174,0.7948592400550842
11,0.000997783201319238,0.3362507832050323,0.0427381719648838,0.06527840808033943,0.20489694222807883,0.32682117104530334,0.04122049689292908,0.06385118305683136,0.20234596192836762,0.8002779102325439
